hl_id,hl_headline,hl_party_nor,hl_valance,hl_opinion,hl_direction,hl_valance_direction,hl_direction_wording,hl_party
201,Lokal Ap-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Ap,negative,rel_div_good,agree,skjelles ut –,ta imot,ap
202,Lokal Sp-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Sp,negative,rel_div_good,agree,skjelles ut –,ta imot,sp
203,Lokal Mdg-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Mdg,negative,rel_div_good,agree,skjelles ut –,ta imot,mdg
204,Lokal Venstre-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Venstre,negative,rel_div_good,agree,skjelles ut –,ta imot,v
205,Lokal Krf-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Krf,negative,rel_div_good,agree,skjelles ut –,ta imot,krf
206,Lokal Høyre-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Høyre,negative,rel_div_good,agree,skjelles ut –,ta imot,h
207,Lokal Frp-politiker skjelles ut – vil ta imot fem tusen nye flyktninger,Frp,negative,rel_div_good,agree,skjelles ut –,ta imot,frp
208,Lokal Rødt-politiker hylles – vil ta imot fem tusen nye flyktninger,Rødt,positive,rel_div_good,agree,hylles –,ta imot,rodt
209,Lokal Sv-politiker hylles – vil ta imot fem tusen nye flyktninger,Sv,positive,rel_div_good,agree,hylles –,ta imot,sv
210,Lokal Ap-politiker hylles – vil ta imot fem tusen nye flyktninger,Ap,positive,rel_div_good,agree,hylles –,ta imot,ap
211,Lokal Sp-politiker hylles – vil ta imot fem tusen nye flyktninger,Sp,positive,rel_div_good,agree,hylles –,ta imot,sp
212,Lokal Mdg-politiker hylles – vil ta imot fem tusen nye flyktninger,Mdg,positive,rel_div_good,agree,hylles –,ta imot,mdg
213,Lokal Venstre-politiker hylles – vil ta imot fem tusen nye flyktninger,Venstre,positive,rel_div_good,agree,hylles –,ta imot,v
214,Lokal Krf-politiker hylles – vil ta imot fem tusen nye flyktninger,Krf,positive,rel_div_good,agree,hylles –,ta imot,krf
215,Lokal Høyre-politiker hylles – vil ta imot fem tusen nye flyktninger,Høyre,positive,rel_div_good,agree,hylles –,ta imot,h
216,Lokal Frp-politiker hylles – vil ta imot fem tusen nye flyktninger,Frp,positive,rel_div_good,agree,hylles –,ta imot,frp
217,Politiker fra Rødt vil øke formueskatten,Rødt,neutral,lower_taxes,disagree,,øke,rodt
218,Politiker fra Sv vil øke formueskatten,Sv,neutral,lower_taxes,disagree,,øke,sv
219,Politiker fra Ap vil øke formueskatten,Ap,neutral,lower_taxes,disagree,,øke,ap
220,Politiker fra Sp vil øke formueskatten,Sp,neutral,lower_taxes,disagree,,øke,sp
221,Politiker fra Mdg vil øke formueskatten,Mdg,neutral,lower_taxes,disagree,,øke,mdg
222,Politiker fra Venstre vil øke formueskatten,Venstre,neutral,lower_taxes,disagree,,øke,v
223,Politiker fra Krf vil øke formueskatten,Krf,neutral,lower_taxes,disagree,,øke,krf
224,Politiker fra Høyre vil øke formueskatten,Høyre,neutral,lower_taxes,disagree,,øke,h
225,Politiker fra Frp vil øke formueskatten,Frp,neutral,lower_taxes,disagree,,øke,frp
226,Politiker fra Rødt vil senke formueskatten,Rødt,neutral,lower_taxes,agree,,senke,rodt
227,Politiker fra Sv vil senke formueskatten,Sv,neutral,lower_taxes,agree,,senke,sv
228,Politiker fra Ap vil senke formueskatten,Ap,neutral,lower_taxes,agree,,senke,ap
229,Politiker fra Sp vil senke formueskatten,Sp,neutral,lower_taxes,agree,,senke,sp
230,Politiker fra Mdg vil senke formueskatten,Mdg,neutral,lower_taxes,agree,,senke,mdg
231,Politiker fra Venstre vil senke formueskatten,Venstre,neutral,lower_taxes,agree,,senke,v
232,Politiker fra Krf vil senke formueskatten,Krf,neutral,lower_taxes,agree,,senke,krf
233,Politiker fra Høyre vil senke formueskatten,Høyre,neutral,lower_taxes,agree,,senke,h
234,Politiker fra Frp vil senke formueskatten,Frp,neutral,lower_taxes,agree,,senke,frp
235,"Politiker fra Rødt vil øke formueskatten, mottar sterk kritikk",Rødt,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,rodt
236,"Politiker fra Sv vil øke formueskatten, mottar sterk kritikk",Sv,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,sv
237,"Politiker fra Ap vil øke formueskatten, mottar sterk kritikk",Ap,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,ap
238,"Politiker fra Sp vil øke formueskatten, mottar sterk kritikk",Sp,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,sp
239,"Politiker fra Mdg vil øke formueskatten, mottar sterk kritikk",Mdg,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,mdg
240,"Politiker fra Venstre vil øke formueskatten, mottar sterk kritikk",Venstre,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,v
241,"Politiker fra Krf vil øke formueskatten, mottar sterk kritikk",Krf,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,krf
242,"Politiker fra Høyre vil øke formueskatten, mottar sterk kritikk",Høyre,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,h
243,"Politiker fra Frp vil øke formueskatten, mottar sterk kritikk",Frp,negative,lower_taxes,disagree,", mottar sterk kritikk",øke,frp
244,"Politiker fra Rødt vil senke formueskatten, mottar sterk kritikk",Rødt,negative,lower_taxes,agree,", mottar sterk kritikk",senke,rodt
245,"Politiker fra Sv vil senke formueskatten, mottar sterk kritikk",Sv,negative,lower_taxes,agree,", mottar sterk kritikk",senke,sv
246,"Politiker fra Ap vil senke formueskatten, mottar sterk kritikk",Ap,negative,lower_taxes,agree,", mottar sterk kritikk",senke,ap
247,"Politiker fra Sp vil senke formueskatten, mottar sterk kritikk",Sp,negative,lower_taxes,agree,", mottar sterk kritikk",senke,sp
248,"Politiker fra Mdg vil senke formueskatten, mottar sterk kritikk",Mdg,negative,lower_taxes,agree,", mottar sterk kritikk",senke,mdg
249,"Politiker fra Venstre vil senke formueskatten, mottar sterk kritikk",Venstre,negative,lower_taxes,agree,", mottar sterk kritikk",senke,v
250,"Politiker fra Krf vil senke formueskatten, mottar sterk kritikk",Krf,negative,lower_taxes,agree,", mottar sterk kritikk",senke,krf
251,"Politiker fra Høyre vil senke formueskatten, mottar sterk kritikk",Høyre,negative,lower_taxes,agree,", mottar sterk kritikk",senke,h
252,"Politiker fra Frp vil senke formueskatten, mottar sterk kritikk",Frp,negative,lower_taxes,agree,", mottar sterk kritikk",senke,frp
253,"Politiker fra Rødt vil øke formueskatten, blir roset",Rødt,positive,lower_taxes,disagree,", blir roset",øke,rodt
254,"Politiker fra Sv vil øke formueskatten, blir roset",Sv,positive,lower_taxes,disagree,", blir roset",øke,sv
255,"Politiker fra Ap vil øke formueskatten, blir roset",Ap,positive,lower_taxes,disagree,", blir roset",øke,ap
256,"Politiker fra Sp vil øke formueskatten, blir roset",Sp,positive,lower_taxes,disagree,", blir roset",øke,sp
257,"Politiker fra Mdg vil øke formueskatten, blir roset",Mdg,positive,lower_taxes,disagree,", blir roset",øke,mdg
258,"Politiker fra Venstre vil øke formueskatten, blir roset",Venstre,positive,lower_taxes,disagree,", blir roset",øke,v
259,"Politiker fra Krf vil øke formueskatten, blir roset",Krf,positive,lower_taxes,disagree,", blir roset",øke,krf
260,"Politiker fra Høyre vil øke formueskatten, blir roset",Høyre,positive,lower_taxes,disagree,", blir roset",øke,h
261,"Politiker fra Frp vil øke formueskatten, blir roset",Frp,positive,lower_taxes,disagree,", blir roset",øke,frp
262,"Politiker fra Rødt vil senke formueskatten, blir roset",Rødt,positive,lower_taxes,agree,", blir roset",senke,rodt
263,"Politiker fra Sv vil senke formueskatten, blir roset",Sv,positive,lower_taxes,agree,", blir roset",senke,sv
264,"Politiker fra Ap vil senke formueskatten, blir roset",Ap,positive,lower_taxes,agree,", blir roset",senke,ap
265,"Politiker fra Sp vil senke formueskatten, blir roset",Sp,positive,lower_taxes,agree,", blir roset",senke,sp
266,"Politiker fra Mdg vil senke formueskatten, blir roset",Mdg,positive,lower_taxes,agree,", blir roset",senke,mdg
267,"Politiker fra Venstre vil senke formueskatten, blir roset",Venstre,positive,lower_taxes,agree,", blir roset",senke,v
268,"Politiker fra Krf vil senke formueskatten, blir roset",Krf,positive,lower_taxes,agree,", blir roset",senke,krf
269,"Politiker fra Høyre vil senke formueskatten, blir roset",Høyre,positive,lower_taxes,agree,", blir roset",senke,h
270,"Politiker fra Frp vil senke formueskatten, blir roset",Frp,positive,lower_taxes,agree,", blir roset",senke,frp
271,Rødt-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Rødt,neutral,lower_taxes,disagree,,innføre,rodt
272,Stormer mot Rødt-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Rødt,negative,lower_taxes,disagree,Stormer mot ,innføre,rodt
273,Jubler for Rødt-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Rødt,positive,lower_taxes,disagree,Jubler for ,innføre,rodt
274,Sv-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sv,neutral,lower_taxes,disagree,,innføre,sv
275,Stormer mot Sv-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sv,negative,lower_taxes,disagree,Stormer mot ,innføre,sv
276,Jubler for Sv-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sv,positive,lower_taxes,disagree,Jubler for ,innføre,sv
277,Ap-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Ap,neutral,lower_taxes,disagree,,innføre,ap
278,Stormer mot Ap-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Ap,negative,lower_taxes,disagree,Stormer mot ,innføre,ap
279,Jubler for Ap-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Ap,positive,lower_taxes,disagree,Jubler for ,innføre,ap
280,Sp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sp,neutral,lower_taxes,disagree,,innføre,sp
281,Stormer mot Sp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sp,negative,lower_taxes,disagree,Stormer mot ,innføre,sp
282,Jubler for Sp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Sp,positive,lower_taxes,disagree,Jubler for ,innføre,sp
283,Mdg-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Mdg,neutral,lower_taxes,disagree,,innføre,mdg
284,Stormer mot Mdg-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Mdg,negative,lower_taxes,disagree,Stormer mot ,innføre,mdg
285,Jubler for Mdg-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Mdg,positive,lower_taxes,disagree,Jubler for ,innføre,mdg
286,Venstre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Venstre,neutral,lower_taxes,disagree,,innføre,v
287,Stormer mot Venstre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Venstre,negative,lower_taxes,disagree,Stormer mot ,innføre,v
288,Jubler for Venstre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Venstre,positive,lower_taxes,disagree,Jubler for ,innføre,v
289,Krf-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Krf,neutral,lower_taxes,disagree,,innføre,krf
290,Stormer mot Krf-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Krf,negative,lower_taxes,disagree,Stormer mot ,innføre,krf
291,Jubler for Krf-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Krf,positive,lower_taxes,disagree,Jubler for ,innføre,krf
292,Høyre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Høyre,neutral,lower_taxes,disagree,,innføre,h
293,Stormer mot Høyre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Høyre,negative,lower_taxes,disagree,Stormer mot ,innføre,h
294,Jubler for Høyre-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Høyre,positive,lower_taxes,disagree,Jubler for ,innføre,h
295,Frp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Frp,neutral,lower_taxes,disagree,,innføre,frp
296,Stormer mot Frp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Frp,negative,lower_taxes,disagree,Stormer mot ,innføre,frp
297,Jubler for Frp-topp som vil innføre eiendomsskatten for samtlige byer i Norge,Frp,positive,lower_taxes,disagree,Jubler for ,innføre,frp
298,Rødt-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Rødt,neutral,lower_taxes,agree,,avskaffe,rodt
299,Stormer mot Rødt-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Rødt,negative,lower_taxes,agree,Stormer mot ,avskaffe,rodt
300,Jubler for Rødt-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Rødt,positive,lower_taxes,agree,Jubler for ,avskaffe,rodt
301,Sv-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sv,neutral,lower_taxes,agree,,avskaffe,sv
302,Stormer mot Sv-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sv,negative,lower_taxes,agree,Stormer mot ,avskaffe,sv
303,Jubler for Sv-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sv,positive,lower_taxes,agree,Jubler for ,avskaffe,sv
304,Ap-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Ap,neutral,lower_taxes,agree,,avskaffe,ap
305,Stormer mot Ap-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Ap,negative,lower_taxes,agree,Stormer mot ,avskaffe,ap
306,Jubler for Ap-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Ap,positive,lower_taxes,agree,Jubler for ,avskaffe,ap
307,Sp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sp,neutral,lower_taxes,agree,,avskaffe,sp
308,Stormer mot Sp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sp,negative,lower_taxes,agree,Stormer mot ,avskaffe,sp
309,Jubler for Sp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Sp,positive,lower_taxes,agree,Jubler for ,avskaffe,sp
310,Mdg-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Mdg,neutral,lower_taxes,agree,,avskaffe,mdg
311,Stormer mot Mdg-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Mdg,negative,lower_taxes,agree,Stormer mot ,avskaffe,mdg
312,Jubler for Mdg-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Mdg,positive,lower_taxes,agree,Jubler for ,avskaffe,mdg
313,Venstre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Venstre,neutral,lower_taxes,agree,,avskaffe,v
314,Stormer mot Venstre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Venstre,negative,lower_taxes,agree,Stormer mot ,avskaffe,v
315,Jubler for Venstre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Venstre,positive,lower_taxes,agree,Jubler for ,avskaffe,v
316,Krf-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Krf,neutral,lower_taxes,agree,,avskaffe,krf
317,Stormer mot Krf-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Krf,negative,lower_taxes,agree,Stormer mot ,avskaffe,krf
318,Jubler for Krf-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Krf,positive,lower_taxes,agree,Jubler for ,avskaffe,krf
319,Høyre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Høyre,neutral,lower_taxes,agree,,avskaffe,h
320,Stormer mot Høyre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Høyre,negative,lower_taxes,agree,Stormer mot ,avskaffe,h
321,Jubler for Høyre-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Høyre,positive,lower_taxes,agree,Jubler for ,avskaffe,h
322,Frp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Frp,neutral,lower_taxes,agree,,avskaffe,frp
323,Stormer mot Frp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Frp,negative,lower_taxes,agree,Stormer mot ,avskaffe,frp
324,Jubler for Frp-topp som vil avskaffe eiendomsskatten for samtlige byer i Norge,Frp,positive,lower_taxes,agree,Jubler for ,avskaffe,frp
325,Rødt-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Rødt,neutral,allow_priv,disagree,,vil sikre at ingen,rodt
326,Sv-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Sv,neutral,allow_priv,disagree,,vil sikre at ingen,sv
327,Ap-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Ap,neutral,allow_priv,disagree,,vil sikre at ingen,ap
328,Sp-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Sp,neutral,allow_priv,disagree,,vil sikre at ingen,sp
329,Mdg-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Mdg,neutral,allow_priv,disagree,,vil sikre at ingen,mdg
330,Venstre-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Venstre,neutral,allow_priv,disagree,,vil sikre at ingen,v
331,Krf-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Krf,neutral,allow_priv,disagree,,vil sikre at ingen,krf
332,Høyre-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Høyre,neutral,allow_priv,disagree,,vil sikre at ingen,h
333,Frp-representant vil sikre at ingen private skoler skal kunne ta ut profitt,Frp,neutral,allow_priv,disagree,,vil sikre at ingen,frp
334,Rødt-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Rødt,negative,allow_priv,disagree, refses –,vil sikre at ingen,rodt
335,Sv-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Sv,negative,allow_priv,disagree, refses –,vil sikre at ingen,sv
336,Ap-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Ap,negative,allow_priv,disagree, refses –,vil sikre at ingen,ap
337,Sp-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Sp,negative,allow_priv,disagree, refses –,vil sikre at ingen,sp
338,Mdg-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Mdg,negative,allow_priv,disagree, refses –,vil sikre at ingen,mdg
339,Venstre-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Venstre,negative,allow_priv,disagree, refses –,vil sikre at ingen,v
340,Krf-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Krf,negative,allow_priv,disagree, refses –,vil sikre at ingen,krf
341,Høyre-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Høyre,negative,allow_priv,disagree, refses –,vil sikre at ingen,h
342,Frp-representant refses – vil sikre at ingen private skoler skal kunne ta ut profitt,Frp,negative,allow_priv,disagree, refses –,vil sikre at ingen,frp
343,Rødt-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Rødt,positive,allow_priv,disagree, roses –,vil sikre at ingen,rodt
344,Sv-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Sv,positive,allow_priv,disagree, roses –,vil sikre at ingen,sv
345,Ap-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Ap,positive,allow_priv,disagree, roses –,vil sikre at ingen,ap
346,Sp-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Sp,positive,allow_priv,disagree, roses –,vil sikre at ingen,sp
347,Mdg-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Mdg,positive,allow_priv,disagree, roses –,vil sikre at ingen,mdg
348,Venstre-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Venstre,positive,allow_priv,disagree, roses –,vil sikre at ingen,v
349,Krf-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Krf,positive,allow_priv,disagree, roses –,vil sikre at ingen,krf
350,Høyre-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Høyre,positive,allow_priv,disagree, roses –,vil sikre at ingen,h
351,Frp-representant roses – vil sikre at ingen private skoler skal kunne ta ut profitt,Frp,positive,allow_priv,disagree, roses –,vil sikre at ingen,frp
352,Rødt-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Rødt,positive,allow_priv,agree,,vil åpne for at noen,rodt
353,Sv-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Sv,neutral,allow_priv,agree,,vil åpne for at noen,sv
354,Ap-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Ap,neutral,allow_priv,agree,,vil åpne for at noen,ap
355,Sp-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Sp,neutral,allow_priv,agree,,vil åpne for at noen,sp
356,Mdg-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Mdg,neutral,allow_priv,agree,,vil åpne for at noen,mdg
357,Venstre-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Venstre,neutral,allow_priv,agree,,vil åpne for at noen,v
358,Krf-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Krf,neutral,allow_priv,agree,,vil åpne for at noen,krf
359,Høyre-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Høyre,neutral,allow_priv,agree,,vil åpne for at noen,h
360,Frp-representant vil åpne for at noen private skoler skal kunne ta ut profitt,Frp,neutral,allow_priv,agree,,vil åpne for at noen,frp
361,Rødt-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Rødt,negative,allow_priv,agree, refses –,vil åpne for at noen,rodt
362,Sv-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Sv,negative,allow_priv,agree, refses –,vil åpne for at noen,sv
363,Ap-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Ap,negative,allow_priv,agree, refses –,vil åpne for at noen,ap
364,Sp-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Sp,negative,allow_priv,agree, refses –,vil åpne for at noen,sp
365,Mdg-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Mdg,negative,allow_priv,agree, refses –,vil åpne for at noen,mdg
366,Venstre-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Venstre,negative,allow_priv,agree, refses –,vil åpne for at noen,v
367,Krf-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Krf,negative,allow_priv,agree, refses –,vil åpne for at noen,krf
368,Høyre-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Høyre,negative,allow_priv,agree, refses –,vil åpne for at noen,h
369,Frp-representant refses – vil åpne for at noen private skoler skal kunne ta ut profitt,Frp,negative,allow_priv,agree, refses –,vil åpne for at noen,frp
370,Rødt-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Rødt,positive,allow_priv,agree, roses –,vil åpne for at noen,rodt
371,Sv-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Sv,positive,allow_priv,agree, roses –,vil åpne for at noen,sv
372,Ap-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Ap,positive,allow_priv,agree, roses –,vil åpne for at noen,ap
373,Sp-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Sp,positive,allow_priv,agree, roses –,vil åpne for at noen,sp
374,Mdg-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Mdg,positive,allow_priv,agree, roses –,vil åpne for at noen,mdg
375,Venstre-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Venstre,positive,allow_priv,agree, roses –,vil åpne for at noen,v
376,Krf-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Krf,positive,allow_priv,agree, roses –,vil åpne for at noen,krf
377,Høyre-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Høyre,positive,allow_priv,agree, roses –,vil åpne for at noen,h
378,Frp-representant roses – vil åpne for at noen private skoler skal kunne ta ut profitt,Frp,positive,allow_priv,agree, roses –,vil åpne for at noen,frp
379,Rødt-profil lanserer forslag om færre privatskoler i Norge,Rødt,neutral,allow_priv,disagree,lanserer,færre,rodt
380,Sv-profil lanserer forslag om færre privatskoler i Norge,Sv,neutral,allow_priv,disagree,lanserer,færre,sv
381,Ap-profil lanserer forslag om færre privatskoler i Norge,Ap,neutral,allow_priv,disagree,lanserer,færre,ap
382,Sp-profil lanserer forslag om færre privatskoler i Norge,Sp,neutral,allow_priv,disagree,lanserer,færre,sp
383,Mdg-profil lanserer forslag om færre privatskoler i Norge,Mdg,neutral,allow_priv,disagree,lanserer,færre,mdg
384,Venstre-profil lanserer forslag om færre privatskoler i Norge,Venstre,neutral,allow_priv,disagree,lanserer,færre,v
385,Krf-profil lanserer forslag om færre privatskoler i Norge,Krf,neutral,allow_priv,disagree,lanserer,færre,krf
386,Høyre-profil lanserer forslag om færre privatskoler i Norge,Høyre,neutral,allow_priv,disagree,lanserer,færre,h
387,Frp-profil lanserer forslag om færre privatskoler i Norge,Frp,neutral,allow_priv,disagree,lanserer,færre,frp
388,Rødt-profil møter proteststorm for forslag om færre privatskoler i Norge,Rødt,negative,allow_priv,disagree,møter proteststorm for,færre,rodt
389,Sv-profil møter proteststorm for forslag om færre privatskoler i Norge,Sv,negative,allow_priv,disagree,møter proteststorm for,færre,sv
390,Ap-profil møter proteststorm for forslag om færre privatskoler i Norge,Ap,negative,allow_priv,disagree,møter proteststorm for,færre,ap
391,Sp-profil møter proteststorm for forslag om færre privatskoler i Norge,Sp,negative,allow_priv,disagree,møter proteststorm for,færre,sp
392,Mdg-profil møter proteststorm for forslag om færre privatskoler i Norge,Mdg,negative,allow_priv,disagree,møter proteststorm for,færre,mdg
393,Venstre-profil møter proteststorm for forslag om færre privatskoler i Norge,Venstre,negative,allow_priv,disagree,møter proteststorm for,færre,v
394,Krf-profil møter proteststorm for forslag om færre privatskoler i Norge,Krf,negative,allow_priv,disagree,møter proteststorm for,færre,krf
395,Høyre-profil møter proteststorm for forslag om færre privatskoler i Norge,Høyre,negative,allow_priv,disagree,møter proteststorm for,færre,h
396,Frp-profil møter proteststorm for forslag om færre privatskoler i Norge,Frp,negative,allow_priv,disagree,møter proteststorm for,færre,frp
397,Rødt-profil møter begeistring for forslag om færre privatskoler i Norge,Rødt,positive,allow_priv,disagree,møter begeistring for,færre,rodt
398,Sv-profil møter begeistring for forslag om færre privatskoler i Norge,Sv,positive,allow_priv,disagree,møter begeistring for,færre,sv
399,Ap-profil møter begeistring for forslag om færre privatskoler i Norge,Ap,positive,allow_priv,disagree,møter begeistring for,færre,ap
400,Sp-profil møter begeistring for forslag om færre privatskoler i Norge,Sp,positive,allow_priv,disagree,møter begeistring for,færre,sp
401,Mdg-profil møter begeistring for forslag om færre privatskoler i Norge,Mdg,positive,allow_priv,disagree,møter begeistring for,færre,mdg
402,Venstre-profil møter begeistring for forslag om færre privatskoler i Norge,Venstre,positive,allow_priv,disagree,møter begeistring for,færre,v
403,Krf-profil møter begeistring for forslag om færre privatskoler i Norge,Krf,positive,allow_priv,disagree,møter begeistring for,færre,krf
404,Høyre-profil møter begeistring for forslag om færre privatskoler i Norge,Høyre,positive,allow_priv,disagree,møter begeistring for,færre,h
405,Frp-profil møter begeistring for forslag om færre privatskoler i Norge,Frp,positive,allow_priv,disagree,møter begeistring for,færre,frp
406,Rødt-profil lanserer forslag om flere privatskoler i Norge,Rødt,neutral,allow_priv,agree,lanserer,flere,rodt
407,Sv-profil lanserer forslag om flere privatskoler i Norge,Sv,neutral,allow_priv,agree,lanserer,flere,sv
408,Ap-profil lanserer forslag om flere privatskoler i Norge,Ap,neutral,allow_priv,agree,lanserer,flere,ap
409,Sp-profil lanserer forslag om flere privatskoler i Norge,Sp,neutral,allow_priv,agree,lanserer,flere,sp
410,Mdg-profil lanserer forslag om flere privatskoler i Norge,Mdg,neutral,allow_priv,agree,lanserer,flere,mdg
411,Venstre-profil lanserer forslag om flere privatskoler i Norge,Venstre,neutral,allow_priv,agree,lanserer,flere,v
412,Krf-profil lanserer forslag om flere privatskoler i Norge,Krf,neutral,allow_priv,agree,lanserer,flere,krf
